"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2001","England et Wales","Nombre","125682",""
"2001","Scotland","Nombre","15093",""
"2001","Northern Ireland (UK)","Nombre","9492",""
"2001","Islande","Nombre",":",""
"2001","Liechtenstein","Nombre","75",""
"2001","Norvège","Nombre","8121",""
"2001","Suisse","Nombre","14971",""
"2001","Ancienne République yougoslave de Macédoine","Nombre","6162",""
"2001","Turquie","Nombre","368942",""
"2002","Belgique","Nombre","37242",""
"2002","Tchéquie","Nombre","45538",""
"2002","Danemark","Nombre","10233",""
"2002","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","247190",""
"2002","Estonie","Nombre","3503",""
"2002","Irlande","Nombre","11895",""
"2002","Grèce","Nombre","51634",""
"2002","Espagne","Nombre","190119",""
"2002","France","Nombre","235116",""
"2002","France (métropolitaine)","Nombre","235116",""
"2002","Croatie","Nombre","19537",""
"2002","Italie","Nombre","272282",""
"2002","Chypre","Nombre","4531",""
"2002","Lettonie","Nombre","10265",""
"2002","Lituanie","Nombre","11678",""
"2002","Luxembourg","Nombre","1254",""
"2002","Hongrie","Nombre","28996",""
"2002","Malte","Nombre","1796",""
"2002","Pays-Bas","Nombre","36766",""
"2002","Autriche","Nombre","27798",""
"2002","Pologne","Nombre","99502",""
"2002","Portugal","Nombre","47856",""
"2002","Roumanie","Nombre","45245",""
"2002","Slovénie","Nombre","7392",""
"2002","Slovaquie","Nombre","13997",""
"2002","Finlande","Nombre","8323",""
"2002","Suède","Nombre","16149",""
"2002","England et Wales","Nombre","129603",""
"2002","Scotland","Nombre","15287",""
"2002","Northern Ireland (UK)","Nombre","9070",""
"2002","Islande","Nombre","678",""
"2002","Liechtenstein","Nombre","79",""
"2002","Norvège","Nombre","8221",""
"2002","Suisse","Nombre","15073",""
"2002","Ancienne République yougoslave de Macédoine","Nombre","7683",""
"2002","Turquie","Nombre","370095",""
"2003","Belgique","Nombre","36318",""
"2003","Tchéquie","Nombre","46616",""
"2003","Danemark","Nombre","10352",""
"2003","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","245415",""
"2003","Estonie","Nombre","3553",""
"2003","Irlande","Nombre","12017",""
"2003","Grèce","Nombre","52123",""
"2003","Espagne","Nombre","194973",""
"2003","France","Nombre","233250",""
"2003","France (métropolitaine)","Nombre","233250",""
"2003","Croatie","Nombre","19622",""
"2003","Italie","Nombre","249714",""
"2003","Chypre","Nombre","4773",""
"2003","Lettonie","Nombre","9796",""
"2003","Lituanie","Nombre","11910",""
"2003","Luxembourg","Nombre","1304",""
"2003","Hongrie","Nombre","29518",""
"2003","Malte","Nombre","1845",""
"2003","Pays-Bas","Nombre","36907",""
"2003","Autriche","Nombre","26634",""
"2003","Pologne","Nombre","99919",""
"2003","Portugal","Nombre","47258",""
"2003","Roumanie","Nombre","45690",""
"2003","Slovénie","Nombre","7526",""
"2003","Slovaquie","Nombre","13667",""
"2003","Finlande","Nombre","8288",""
"2003","Suède","Nombre","16292",""
"2003","England et Wales","Nombre","133366",""
"2003","Scotland","Nombre","15482",""
"2003","Northern Ireland (UK)","Nombre","8986",""
"2003","Islande","Nombre","678",""
"2003","Liechtenstein","Nombre","84",""
"2003","Norvège","Nombre","8062",""
"2003","Suisse","Nombre","15155",""
"2003","Ancienne République yougoslave de Macédoine","Nombre","8357",""
"2003","Turquie","Nombre","318189",""
"2004","Belgique","Nombre","37008",""
