"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2009","Suisse","Total","Total","Nombre","7.701.856",""
"2009","Monténégro","Total","Total","Nombre","617.157",""
"2009","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.048.619",""
"2009","Albanie","Total","Total","Nombre","2.936.355",""
"2009","Serbie","Total","Total","Nombre","7.334.937",""
"2009","Turquie","Total","Total","Nombre","71.517.100",""
"2009","Andorre","Total","Total","Nombre","84.484",""
"2009","Biélorussie","Total","Total","Nombre","9.671.912",""
"2009","Bosnie-Herzégovine","Total","Total","Nombre","3.843.998",""
"2009","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre","2.180.686",""
"2009","Moldavie","Total","Total","Nombre","3.567.512",""
"2009","Monaco","Total","Total","Nombre",":",""
"2009","Russie","Total","Total","Nombre","141.903.979",""
"2009","Saint-Marin","Total","Total","Nombre","31.269",""
"2009","Ukraine","Total","Total","Nombre","45.963.359",""
"2009","Arménie","Total","Total","Nombre","3.237.976",""
"2009","Azerbaïdjan","Total","Total","Nombre","8.896.900",""
"2009","Géorgie","Total","Total","Nombre","4.385.429",""
"2010","Union européenne (composition actuelle)","Total","Total","Nombre","503.170.618","b"
"2010","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","498.867.771","b"
"2010","Zone euro (19 pays)","Total","Total","Nombre","335.266.424",""
"2010","Zone euro (18 pays)","Total","Total","Nombre","332.124.448",""
"2010","Belgique","Total","Total","Nombre","10.839.905",""
"2010","Bulgarie","Total","Total","Nombre","7.421.766",""
"2010","Tchéquie","Total","Total","Nombre","10.462.088",""
"2010","Danemark","Total","Total","Nombre","5.534.738",""
"2010","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","81.802.257",""
"2010","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","81.802.257",""
"2010","Estonie","Total","Total","Nombre","1.333.290",""
"2010","Irlande","Total","Total","Nombre","4.549.428",""
"2010","Grèce","Total","Total","Nombre","11.119.289",""
"2010","Espagne","Total","Total","Nombre","46.486.619",""
"2010","France","Total","Total","Nombre","64.658.856",""
"2010","France (métropolitaine)","Total","Total","Nombre","62.765.235",""
"2010","Croatie","Total","Total","Nombre","4.302.847",""
"2010","Italie","Total","Total","Nombre","59.190.143",""
"2010","Chypre","Total","Total","Nombre","819.140",""
"2010","Lettonie","Total","Total","Nombre","2.120.504",""
"2010","Lituanie","Total","Total","Nombre","3.141.976",""
"2010","Luxembourg","Total","Total","Nombre","502.066",""
"2010","Hongrie","Total","Total","Nombre","10.014.324",""
"2010","Malte","Total","Total","Nombre","414.027",""
"2010","Pays-Bas","Total","Total","Nombre","16.574.989",""
"2010","Autriche","Total","Total","Nombre","8.351.643",""
"2010","Pologne","Total","Total","Nombre","38.022.869","b"
"2010","Portugal","Total","Total","Nombre","10.573.479",""
"2010","Roumanie","Total","Total","Nombre","20.294.683",""
"2010","Slovénie","Total","Total","Nombre","2.046.976",""
"2010","Slovaquie","Total","Total","Nombre","5.390.410",""
"2010","Finlande","Total","Total","Nombre","5.351.427",""
"2010","Suède","Total","Total","Nombre","9.340.682",""
"2010","Royaume-Uni","Total","Total","Nombre","62.510.197",""
"2010","Espace économique européen (EEE) (UE28 - composition actuelle, plus IS, LI, NO)","Total","Total","Nombre","508.382.341","b"
"2010","Espace économique européen (EEE) (UE27 - avant l'accession de la Croatie, plus IS, LI, NO)","Total","Total","Nombre","504.079.494","b"
"2010","Association Européenne de Libre Echange (AELE)","Total","Total","Nombre","12.997.529",""
"2010","Islande","Total","Total","Nombre","317.630",""
"2010","Liechtenstein","Total","Total","Nombre","35.894",""
"2010","Norvège","Total","Total","Nombre","4.858.199",""
"2010","Suisse","Total","Total","Nombre","7.785.806",""
"2010","Monténégro","Total","Total","Nombre","619.001",""
"2010","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.052.722",""
"2010","Albanie","Total","Total","Nombre","2.918.674",""
"2010","Serbie","Total","Total","Nombre","7.306.677",""
"2010","Turquie","Total","Total","Nombre","72.561.312",""
"2010","Andorre","Total","Total","Nombre","84.082",""
"2010","Biélorussie","Total","Total","Nombre","9.480.178",""
"2010","Bosnie-Herzégovine","Total","Total","Nombre","3.844.046",""
"2010","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre","2.208.107",""
"2010","Moldavie","Total","Total","Nombre","3.563.695",""
"2010","Monaco","Total","Total","Nombre",":",""
"2010","Russie","Total","Total","Nombre","141.914.509",""
"2010","Saint-Marin","Total","Total","Nombre",":",""
"2010","Ukraine","Total","Total","Nombre","45.782.592",""
"2010","Arménie","Total","Total","Nombre","3.249.482",""
"2010","Azerbaïdjan","Total","Total","Nombre","8.997.586",""
"2010","Géorgie","Total","Total","Nombre","4.436.391",""
"2011","Union européenne (composition actuelle)","Total","Total","Nombre","502.964.837","b"
"2011","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","498.674.980","b"
"2011","Zone euro (19 pays)","Total","Total","Nombre","334.572.589","b"
"2011","Zone euro (18 pays)","Total","Total","Nombre","331.520.001","b"
"2011","Belgique","Total","Total","Nombre","11.000.638","b"
"2011","Bulgarie","Total","Total","Nombre","7.369.431",""
"2011","Tchéquie","Total","Total","Nombre","10.486.731",""
"2011","Danemark","Total","Total","Nombre","5.560.628",""
"2011","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","80.222.065","b"
"2011","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","80.222.065","b"
"2011","Estonie","Total","Total","Nombre","1.329.660",""
"2011","Irlande","Total","Total","Nombre","4.570.881",""
"2011","Grèce","Total","Total","Nombre","11.123.392",""
"2011","Espagne","Total","Total","Nombre","46.667.174",""
"2011","France","Total","Total","Nombre","64.978.721",""
"2011","France (métropolitaine)","Total","Total","Nombre","63.070.344",""
"2011","Croatie","Total","Total","Nombre","4.289.857",""
"2011","Italie","Total","Total","Nombre","59.364.690",""
"2011","Chypre","Total","Total","Nombre","839.751",""
"2011","Lettonie","Total","Total","Nombre","2.074.605",""
