"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2001","Pologne","Nombre","101.246",""
"2001","Portugal","Nombre","48.203",""
"2001","Roumanie","Nombre","44.390",""
"2001","Slovénie","Nombre","7.359",""
"2001","Slovaquie","Nombre","14.585",""
"2001","Finlande","Nombre","8.273",""
"2001","Suède","Nombre","16.120",""
"2001","England et Wales","Nombre","125.682",""
"2001","Scotland","Nombre","15.093",""
"2001","Northern Ireland (UK)","Nombre","9.492",""
"2001","Islande","Nombre",":",""
"2001","Liechtenstein","Nombre","75",""
"2001","Norvège","Nombre","8.121",""
"2001","Suisse","Nombre","14.971",""
"2001","Ancienne République yougoslave de Macédoine","Nombre","6.162",""
"2001","Turquie","Nombre","368.942",""
"2002","Belgique","Nombre","37.242",""
"2002","Tchéquie","Nombre","45.538",""
"2002","Danemark","Nombre","10.233",""
"2002","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","247.190",""
"2002","Estonie","Nombre","3.503",""
"2002","Irlande","Nombre","11.895",""
"2002","Grèce","Nombre","51.634",""
"2002","Espagne","Nombre","190.119",""
"2002","France","Nombre","235.116",""
"2002","France (métropolitaine)","Nombre","235.116",""
"2002","Croatie","Nombre","19.537",""
"2002","Italie","Nombre","272.282",""
"2002","Chypre","Nombre","4.531",""
"2002","Lettonie","Nombre","10.265",""
"2002","Lituanie","Nombre","11.678",""
"2002","Luxembourg","Nombre","1.254",""
"2002","Hongrie","Nombre","28.996",""
"2002","Malte","Nombre","1.796",""
"2002","Pays-Bas","Nombre","36.766",""
"2002","Autriche","Nombre","27.798",""
"2002","Pologne","Nombre","99.502",""
"2002","Portugal","Nombre","47.856",""
"2002","Roumanie","Nombre","45.245",""
"2002","Slovénie","Nombre","7.392",""
"2002","Slovaquie","Nombre","13.997",""
"2002","Finlande","Nombre","8.323",""
"2002","Suède","Nombre","16.149",""
"2002","England et Wales","Nombre","129.603",""
"2002","Scotland","Nombre","15.287",""
"2002","Northern Ireland (UK)","Nombre","9.070",""
"2002","Islande","Nombre","678",""
"2002","Liechtenstein","Nombre","79",""
"2002","Norvège","Nombre","8.221",""
"2002","Suisse","Nombre","15.073",""
"2002","Ancienne République yougoslave de Macédoine","Nombre","7.683",""
"2002","Turquie","Nombre","370.095",""
"2003","Belgique","Nombre","36.318",""
"2003","Tchéquie","Nombre","46.616",""
"2003","Danemark","Nombre","10.352",""
"2003","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","245.415",""
"2003","Estonie","Nombre","3.553",""
"2003","Irlande","Nombre","12.017",""
"2003","Grèce","Nombre","52.123",""
"2003","Espagne","Nombre","194.973",""
"2003","France","Nombre","233.250",""
"2003","France (métropolitaine)","Nombre","233.250",""
"2003","Croatie","Nombre","19.622",""
"2003","Italie","Nombre","249.714",""
"2003","Chypre","Nombre","4.773",""
"2003","Lettonie","Nombre","9.796",""
"2003","Lituanie","Nombre","11.910",""
"2003","Luxembourg","Nombre","1.304",""
"2003","Hongrie","Nombre","29.518",""
"2003","Malte","Nombre","1.845",""
"2003","Pays-Bas","Nombre","36.907",""
"2003","Autriche","Nombre","26.634",""
"2003","Pologne","Nombre","99.919",""
"2003","Portugal","Nombre","47.258",""
"2003","Roumanie","Nombre","45.690",""
"2003","Slovénie","Nombre","7.526",""
"2003","Slovaquie","Nombre","13.667",""
"2003","Finlande","Nombre","8.288",""
"2003","Suède","Nombre","16.292",""
